Drug_use_number	Disease_number_within_Drug_Use	Disease_ratio_within_Drug_Use	p	expected_disease_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_higher	disease	drug
42	2	0.047619047619047616	0.7669407862641687	2.9927125506072874	0.6503802281368821	0.15675154731024182	2.6985024927007175	nervsyst	A01T1
605	50	0.08264462809917356	0.2919181549662542	43.10931174089069	1.1924686192468619	0.8799071870657805	1.616058407967306	nervsyst	A02T1
126	6	0.047619047619047616	0.3867194464197934	8.978137651821863	0.6477011494252873	0.28392145218175974	1.4775804214268153	nervsyst	A03T1
330	16	0.048484848484848485	0.12465594831547273	23.51417004048583	0.6536624203821656	0.3924010572466272	1.088872091267903	nervsyst	A06T1
71	5	0.07042253521126761	0.8380573191926641	5.05910931174089	0.9873109681905093	0.39604494664118195	2.461293739956336	nervsyst	A07T1
65	9	0.13846153846153847	0.061010991281873074	4.631578947368421	2.1137489677952104	1.039731850467568	4.297199029582559	nervsyst	A10T1
1941	143	0.07367336424523442	0.6666632271430405	138.30607287449394	1.0502463054187192	0.860443462298748	1.2819172326545019	nervsyst	A11T1
32	3	0.09375	0.8796641207833932	2.280161943319838	1.3503448275862069	0.40998901760889334	4.447512189529611	nervsyst	A12T1
3	1	0.3333333333333333	0.5205288600908844	0.21376518218623483	6.527514231499051	0.5909264637014986	72.10447434614449	nervsyst	A16T1
91	8	0.08791208791208792	0.6770475708249695	6.484210526315789	1.2602409638554217	0.6066910224247293	2.617819002219187	nervsyst	B01T1
5	1	0.2	0.8026332518936963	0.3562753036437247	3.26280834914611	0.36403400030624145	29.24429672586003	nervsyst	B02T1
4675	331	0.07080213903743315	0.8796938704267666	333.1174089068826	0.9816655916089407	0.8174679130526449	1.1788442315128194	nervsyst	B03T1
5	1	0.2	0.8026332518936963	0.3562753036437247	3.26280834914611	0.36403400030624145	29.24429672586003	nervsyst	B05T1
25	1	0.04	0.8265512286287349	1.7813765182186234	0.5422201138519924	0.07320993547103569	4.015884592358162	nervsyst	C02T1
11	1	0.09090909090909091	0.7392228290072149	0.7838056680161943	1.3039848197343453	0.16660811519576596	10.205843863605669	nervsyst	C03T1
111	7	0.06306306306306306	0.8790569981138692	7.909311740890688	0.8756459471430681	0.4052363521251018	1.8921200448260238	nervsyst	C05T1
83	9	0.10843373493975904	0.26718862573163826	5.91417004048583	1.5953757225433527	0.794109354570521	3.20512997540151	nervsyst	C07T1
12	5	0.4166666666666667	4.2489742348816966e-05	0.8550607287449393	9.389511062551216	2.9698678730269004	29.685804811213956	nervsyst	C09T1
256	21	0.08203125	0.5765075724882036	18.241295546558703	1.1715724537328465	0.7429728113075252	1.8474189007401973	nervsyst	D01T1
174	7	0.040229885057471264	0.14407876006746728	12.39838056680162	0.5402438884227706	0.25230080366763125	1.1568074882656378	nervsyst	D02T1
20	2	0.1	0.9480215764643816	1.4251012145748987	1.449936628643853	0.33553140766805706	6.265631708501433	nervsyst	D04T1
15	1	0.06666666666666667	0.6648676641930806	1.0688259109311742	0.9308755760368663	0.12217283652313174	7.092651384073442	nervsyst	D05T1
226	9	0.03982300884955752	0.08288254083826166	16.103643724696358	0.532617671345995	0.27181337230181	1.0436630892281573	nervsyst	D06T1
