Drug_use_number	Disease_number_within_Drug_Use	Disease_ratio_within_Drug_Use	p	expected_disease_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_higher	disease	drug
4594	321	0.06987374836743579	0.5865427799118218	327.3457489878543	0.9468384225860391	0.7897804601106547	1.1351293729900729	nervsyst	foliumzuur
10	3	0.3	0.027897483326887	0.7125506072874493	5.612244897959184	1.4470669460283911	21.766299673360784	nervsyst	oxycodon
47	9	0.19148936170212766	0.003389499280266641	3.3489878542510123	3.12321265591725	1.5020368085199545	6.49415329820934	nervsyst	citalopram
10	2	0.2	0.3327277218839087	0.7125506072874493	3.267110266159696	0.6920364930954556	15.424055808822425	nervsyst	lamotrigine
15	2	0.13333333333333333	0.6648676641930806	1.0688259109311742	2.0090669786487276	0.4521833927417156	8.9263564064642	nervsyst	carbamazepine
29	7	0.2413793103448276	0.0013428448104506492	2.0663967611336034	4.189495725004362	1.7814097781832177	9.852800093940322	nervsyst	valproinezuur
34	5	0.14705882352941177	0.16511884734992255	2.422672064777328	2.25918111689853	0.870894053925844	5.860528379937104	nervsyst	Tramadol
93	5	0.053763440860215055	0.6476369572403888	6.626720647773279	0.7380931687815053	0.29845271758077024	1.8253528740427338	nervsyst	hydroxocobalamine
3	1	0.3333333333333333	0.5205288600908844	0.21376518218623483	6.527514231499051	0.5909264637014986	72.10447434614449	nervsyst	escitalopram
3	1	0.3333333333333333	0.5205288600908844	0.21376518218623483	6.527514231499051	0.5909264637014986	72.10447434614449	nervsyst	Tramadolparacetamol
209	11	0.05263157894736842	0.35481415209188016	14.892307692307693	0.7182462927143778	0.3888177704836867	1.3267853893514159	nervsyst	omeprazol
27	1	0.037037037037037035	0.7507196068180387	1.9238866396761134	0.500364910232083	0.0677668798919538	3.694504510031113	nervsyst	fluoxetine
9	1	0.1111111111111111	0.8546445483326515	0.6412955465587045	1.6304554079696394	0.2035419561998253	13.060623406643476	nervsyst	mirtazapine
12	2	0.16666666666666666	0.46887587785544116	0.8550607287449393	2.6129277566539924	0.5710392318706673	11.95608126455168	nervsyst	venlafaxine
7	2	0.2857142857142857	0.14109458823609772	0.4987854251012146	5.229657794676806	1.012200771848865	27.019659943025065	nervsyst	clomipramine
25	1	0.04	0.8265512286287349	1.7813765182186234	0.5422201138519924	0.07320993547103569	4.015884592358162	nervsyst	cyproteronethinylestradiol
65	4	0.06153846153846154	0.9491918850753484	4.631578947368421	0.8535852834438744	0.3091877535972462	2.356522299589712	nervsyst	prednisolon
248	20	0.08064516129032258	0.6461199498775533	17.671255060728743	1.1489846663903853	0.7210699933951275	1.8308427416099808	nervsyst	salbutamol
