	Drug_use_number	Disease_number_within_Drug_Use	Disease_ratio_within_Drug_Use	p	expected_disease_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_higher	disease	drug	corrected_df	upmost_disease_parent	upmost_drug_parent	is_represented_by_children_diseases	is_represented_by_children_drugs
5801	605	40	0.06611570247933883	0.9345444236315822	40.986504723346826	0.9719955560663526	0.6957928555761074	1.3578399856239896	MCA	A02T1	0.9995084634941636	MCA	A02T1	False	False
5803	330	18	0.054545454545454536	0.3875004818206941	22.356275303643727	0.7862364907819454	0.4845729162615302	1.2756961825399944	MCA	A06T1	0.9605942524362716	MCA	A06T1	False	False
5807	1941	127	0.06543019062339	0.6744434405389687	131.49554655870446	0.9510297684674752	0.7722486591356685	1.1711999882571589	MCA	A11T1	0.9995084634941636	MCA	A11T1	False	False
5854	366	29	0.07923497267759562	0.429322100794299	24.79514170040486	1.1954692881475022	0.8089143660579788	1.7667467396684386	MCA	B03AT1	0.976194453854149	MCA	B03T1	False	False
5856	4507	317	0.07033503439094743	0.2902760588176867	305.33252361673414	1.1115345417016058	0.9213552005368904	1.3409692990019983	MCA	B03BB01T1	0.9172205958955467	MCA	B03T1	False	False
5816	256	14	0.0546875	0.4717731784871678	17.343049932523616	0.7902384500745157	0.4575057144224802	1.3649595803725942	MCA	D01T1	0.9818591469470196	MCA	D01T1	False	False
5820	226	14	0.06194690265486725	0.8274897856551533	15.310661268556006	0.906124342715744	0.5235237466822921	1.5683363546836588	MCA	D06T1	0.9995084634941636	MCA	D06T1	False	False
5821	421	29	0.0688836104513064	0.9966242449110352	28.52118758434548	1.019135349700134	0.6910105888980846	1.5030693851807269	MCA	D07T1	0.9995084634941636	MCA	D07T1	False	False
5823	460	22	0.04782608695652174	0.09698914826945247	31.16329284750337	0.6770357686453576	0.4368413267823781	1.0492996058808362	MCA	G01T1	0.7532526370563966	MCA	G01T1	False	False
5858	517	41	0.07930367504835589	0.3204891805929477	35.024831309041836	1.2017718150166792	0.8616458844023491	1.6761589900359604	MCA	G03AT1	0.9303092503902161	MCA	G03T1	False	False
5860	244	18	0.07377049180327869	0.8016255971511679	16.530094466936568	1.0995758063336505	0.6744391472872571	1.7926998436218162	MCA	G03DT1	0.9995084634941636	MCA	G03T1	False	False
5861	441	46	0.10430839002267574	0.002267940613117216	29.87611336032389	1.6633244503664224	1.2081060803200128	2.2900706090759075	MCA	G03GT1	0.40063286547394145	MCA	G03T1	False	False
5830	973	78	0.08016443987667009	0.11289363043586788	65.91713900134954	1.2359386528934329	0.961129685083126	1.5893217922864609	MCA	J01T1	0.7543962272993768	MCA	J01T1	False	False
5863	162	13	0.08024691358024691	0.629739463794817	10.9748987854251	1.2059538024457528	0.6791410115803945	2.1414176862167142	MCA	J01AT1	0.9995084634941636	MCA	J01T1	False	False
5864	464	31	0.0668103448275862	0.9899951094377504	31.434278002699056	0.9842210813805818	0.6756220769557223	1.4337766187256291	MCA	J01CT1	0.9995084634941636	MCA	J01T1	False	False
5832	170	12	0.07058823529411765	0.995844383631926	11.516869095816464	1.0462412813226556	0.5776412760260216	1.8949837280921071	MCA	J07T1	0.9995084634941636	MCA	J07T1	False	False
5833	142	18	0.1267605633802817	0.007886261227588384	9.619973009446694	2.0346574246867504	1.2305223707297803	3.3642873419503267	MCA	L02T1	0.4481453662807834	MCA	L02T1	False	False
5835	524	44	0.08396946564885496	0.14909060881405392	35.49905533063428	1.2865356622998545	0.931468652293304	1.776950846702393	MCA	M01T1	0.8179046979378102	MCA	M01T1	False	False
5837	313	28	0.08945686900958466	0.1479479556380095	21.20458839406208	1.3727440965282405	0.9209172269895372	2.0462494340705164	MCA	N01T1	0.8179046979378102	MCA	N01T1	False	False
5869	1479	116	0.0784313725490196	0.07675339715634624	100.19676113360323	1.222577444603682	0.9852491231255328	1.5170737765409066	MCA	N02BT1	0.6966436811343372	MCA	N02T1	False	False
5840	186	13	0.06989247311827956	0.9762353087597698	12.60080971659919	1.0349657789283309	0.5846699735686338	1.832066314291379	MCA	N05T1	0.9995084634941636	MCA	N05T1	False	False
5874	198	17	0.08585858585858586	0.37634947539805175	13.413765182186234	1.302716865068064	0.7856849748593249	2.1599894166699842	MCA	N06AT1	0.9527931216037009	MCA	N06T1	False	False
5876	154	13	0.08441558441558443	0.5029846518149204	10.432928475033739	1.275885074475337	0.7176100614021429	2.268478120398986	MCA	N06ABT1	0.9947437591305172	MCA	N06T1	False	False
5880	463	36	0.07775377969762419	0.4298489097198823	31.366531713900127	1.172548270697852	0.8238864583017509	1.6687608265227425	MCA	R01AT1	0.976194453854149	MCA	R01T1	False	False
5882	241	17	0.07053941908713693	0.9640115908236292	16.32685560053981	1.0459131075110455	0.6333577123058347	1.7271980860243716	MCA	R03AT1	0.9995084634941636	MCA	R03T1	False	False
5848	633	39	0.061611374407582936	0.5757923598695709	42.883400809716605	0.8953683705303576	0.6389249174840412	1.2547397933751905	MCA	R06T1	0.9995084634941636	MCA	R06T1	False	False
5849	168	13	0.07738095238095237	0.7283091559968435	11.381376518218625	1.158242628141698	0.6528393797811876	2.0549097177535884	MCA	S01T1	0.9995084634941636	MCA	S01T1	False	False
5517	1941	18	0.009273570324574959	0.1857340651031308	13.359109311740893	1.5419089490852362	0.8662082653987826	2.7447015945692903	gastrosc	A11T1	0.8368485476144633	abwaldef	A11T1	False	False
5566	1941	15	0.0077279752704791345	0.5217565171150039	17.812145748987856	0.7958619878916123	0.4475799920437135	1.4151577707453138	omphaloc	A11T1	0.9947437591305172	abwaldef	A11T1	False	False
5543	4507	34	0.007543820723319281	0.4752806992423838	31.01983805668016	1.2904091213950368	0.7195606820893296	2.3141282480089598	gastrosc	B03BB01T1	0.9830327014167999	abwaldef	B03T1	False	False
5600	4507	42	0.009318837364100288	0.9720843889942252	41.35978407557354	1.0408648462399863	0.6368123699236609	1.7012854638298935	omphaloc	B03BB01T1	0.9995084634941636	abwaldef	B03T1	False	False
5462	975	22	0.02256410256410257	0.2830781589135657	17.368421052631582	1.3273871983210912	0.8356251804744619	2.1085491622766703	abwaldef	G03T1	0.9172205958955467	abwaldef	G03T1	False	False
5493	441	12	0.027210884353741496	0.17612947924665895	7.85587044534413	1.5965034965034963	0.8749778407160469	2.9130148167661485	abwaldef	G03GT1	0.8368485476144633	abwaldef	G03T1	False	False
5524	975	12	0.012307692307692308	0.04649461250632719	6.7105263157894735	2.0436137071651093	1.0662775000267288	3.916763679256508	gastrosc	G03T1	0.6962191787702605	abwaldef	G03T1	False	False
5466	973	17	0.017471736896197326	0.9653189303564068	17.332793522267206	0.9775695834091322	0.584795414569292	1.6341480569072973	abwaldef	J01T1	0.9995084634941636	abwaldef	J01T1	False	False
5471	524	14	0.0267175572519084	0.1535444661744624	9.334412955465588	1.5744765702891326	0.8981974268145563	2.759946083547669	abwaldef	M01T1	0.8270415721618901	abwaldef	M01T1	False	False
5501	1479	23	0.01555104800540906	0.5316626960333102	26.346558704453443	0.8437468494807945	0.5361769806390669	1.3277495523217842	abwaldef	N02BT1	0.9995084634941636	abwaldef	N02T1	False	False
5588	1564	18	0.011508951406649615	0.3473771680602401	14.352496626180836	1.3496507115135834	0.7852053008636903	2.319848122631735	omphaloc	N02T1	0.9400040551857843	abwaldef	N02T1	False	False
5610	1479	14	0.009465855307640296	0.9823770568535798	13.572469635627535	1.0400455062571103	0.5761819941811568	1.8773489383729611	omphaloc	N02BT1	0.9995084634941636	abwaldef	N02T1	False	False
5594	633	11	0.017377567140600316	0.04088930917733597	5.808906882591093	2.0849551531562023	1.0877182703723498	3.996474187368861	omphaloc	R06T1	0.6962191787702605	abwaldef	R06T1	False	False
5702	4507	14	0.003106279121366763	0.9674021451456002	14.597570850202427	0.901446694858669	0.3998761620476464	2.032144500713683	amniotic	B03BB01T1	0.9995084634941636	amniotic	B03T1	False	False
5631	1941	20	0.010303967027305513	0.2646867500515883	15.7165991902834	1.4130661114003122	0.8240596555005685	2.423071948565532	craniosyn	A11T1	0.9151999532207036	craniosyn	A11T1	False	False
5658	4507	32	0.0071000665631240295	0.28888367637953377	36.493927125506076	0.7342378292098962	0.4411942446017483	1.2219225351171439	craniosyn	B03BB01T1	0.9172205958955467	craniosyn	B03T1	False	False
5641	975	12	0.012307692307692308	0.16681504203333625	7.894736842105262	1.6580996884735202	0.8776375789475426	3.1326080866009884	craniosyn	G03T1	0.8368485476144633	craniosyn	G03T1	False	False
5648	1564	11	0.007033248081841432	0.7115732455078494	12.663967611336034	0.8379699593939315	0.4347023458278881	1.6153436014000424	craniosyn	N02T1	0.9995084634941636	craniosyn	N02T1	False	False
2900	605	61	0.10082644628099173	0.05548486722410635	76.50269905533064	0.7589414618587161	0.5770545109674524	0.9981589807912159	digestiv	A02T1	0.6962191787702605	digestiv	A02T1	False	False
3388	605	26	0.04297520661157025	0.2309404616798761	32.90350877192982	0.7656482639509261	0.5099493907690377	1.1495596910254404	pylosten	A02T1	0.8697918793881677	digestiv	A02T1	False	False
2901	126	14	0.1111111111111111	0.6984875273606053	15.932793522267206	0.8614572047670639	0.4921361046917805	1.5079334935400803	digestiv	A03T1	0.9995084634941636	digestiv	A03T1	False	False
2903	330	39	0.11818181818181818	0.7056893268341464	41.72874493927125	0.9226230110440152	0.6557336751663561	1.2981386388185272	digestiv	A06T1	0.9995084634941636	digestiv	A06T1	False	False
3011	1941	28	0.014425553838227715	0.3437669258465688	23.574898785425106	1.2764615618096893	0.8144759281875902	2.000493891088155	oesoph	A11T1	0.9400040551857843	digestiv	A11T1	False	False
